routeId,routeCode,customerRouteCode,route,startName,endName,startStopCode,endStopCode,startTime,endTime,days,linetype,Variant
140,43-VT-U,43,Vastrapur - Ambli Cross Road(Taj Hotel),Vastrapur,Ambli Cross Road,1982,8673,06:30:00,06:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
142,56-D,56,Iskon Mandir - Sitarambapa Chowk (Gopal Chowk),Iskon Mandir,Sitarambapa Chowk (Gopal Chowk),3197,8923,08:15:00,20:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
145,20-PS-U,20,Prakash Vidhyalay (Isanpur) - Sarangpur,Prakash Vidhyalay (Isanpur),Sarangpur,9235,1204,21:40:00,21:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
146,20-U,20,Prakash Vidhyalay (Isanpur) - Civil Hospital,Prakash Vidhyalay (Isanpur),Civil Hospital,9235,1092,06:50:00,19:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
147,22-D,22,Indiranagar Vibhag-2 (Pani ni Tanki) - Tragad Gam,Indiranagar Vibhag-2 (Pani ni Tanki),Tragad Gam,9007,3562,07:30:00,19:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
148,22-IL-D,22,Indiranagar Vibhag-2 (Pani ni Tanki) - Lal Darwaja,Indiranagar Vibhag-2 (Pani ni Tanki),Lal Darwaja,9007,4103,19:20:00,22:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
149,22-LT-D,22,Lal Darwaja - Tragad Gam,Lal Darwaja,Tragad Gam,4103,3562,06:15:00,09:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
150,22-LI-U,22,Lal Darwaja - Indiranagar Vibhag-2 (Pani ni Tanki),Lal Darwaja,Indiranagar Vibhag-2 (Pani ni Tanki),1077,9008,06:40:00,09:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
151,22-TL-U,22,Tragad Gam - Lal Darwaja,Tragad Gam,Lal Darwaja,3576,1077,18:10:00,22:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
152,22-U,22,Tragad Gam - Indiranagar Vibhag-2 (Pani ni Tanki),Tragad Gam,Indiranagar Vibhag-2 (Pani ni Tanki),3576,9008,07:05:00,19:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
154,22/1-D,22/1,Bareja Eye Hospital - Lal Darwaja,Bareja Eye Hospital,Lal Darwaja,3298,1077,07:10:00,22:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
155,22/1-DL-D,22/1,Dhamatwan Gam - Lal Darwaja,Dhamatwan Gam,Lal Darwaja,7044,1077,20:35:00,20:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
157,45-U,45,Lal Darwaja - Shela Gam,Lal Darwaja,Shela Gam,1125,6056,06:00:00,18:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
159,75-D,75,Chandkheda (Sarthi Bunglows) - Maninagar,Chandkheda (Sarthi Bunglows),Maninagar,2195,1329,06:20:00,21:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
161,22/1-LD-U,22/1,Lal Darwaja - Dhamatwan Gam,Lal Darwaja,Dhamatwan Gam,1077,7043,19:10:00,19:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
163,22/1-U,22/1,Lal Darwaja - Bareja Eye Hospital,Lal Darwaja,Bareja Eye Hospital,1125,3297,06:00:00,20:35:00,"1,2,3,4,5,6,7",AMTS,NORMAL
164,22sh-BL-D,22sh,Bhadreshwar - Lal Darwaja,Bhadreshwar,Lal Darwaja,4046,1125,06:20:00,06:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
165,22sh-D,22sh,Indiranagar Vibhag-2 - Lal Darwaja,Indiranagar Vibhag-2,Lal Darwaja,3600,1077,08:30:00,23:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
166,22sh-LB-U,22sh,Lal Darwaja - Bhadreshwar,Lal Darwaja,Bhadreshwar,1125,3353,05:45:00,05:45:00,"1,2,3,4,5,6,7",AMTS,NORMAL
167,22sh-U,22sh,Lal Darwaja - Indiranagar Vibhag-2,Lal Darwaja,Indiranagar Vibhag-2,1125,3691,07:30:00,22:15:00,"1,2,3,4,5,6,7",AMTS,NORMAL
168,23-D,23,Lambha Gam - Maninagar,Lambha Gam,Maninagar,3603,1310,08:10:00,20:10:00,"1,2,3,4,5,6,7",AMTS,NORMAL
169,23-U,23,Maninagar - Lambha Gam,Maninagar,Lambha Gam,1329,3688,07:25:00,19:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
170,52-TV-D,52,Thol Gam(Sardar Chowk) - Vadaj,Thol Gam (Saradar Chowk),Vadaj,9304,1820,20:05:00,20:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
172,28-D,28,Lambha Gam - Meghaninagar,Lambha Gam,Meghaninagar,3603,3595,07:45:00,21:00:00,"1,2,3,4,5,6,7",AMTS,NORMAL
175,28-U,28,Meghaninagar - Lambha Gam,Meghaninagar,Lambha Gam,4850,3688,06:20:00,19:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
178,28sh-D,28sh,Indiranagar Vibhag-2 (Pani ni Tanki) - Sarangpur,Indiranagar Vibhag-2 (Pani ni Tanki),Sarangpur,9007,1489,07:00:00,22:25:00,"1,2,3,4,5,6,7",AMTS,NORMAL
179,28sh-U,28sh,Sarangpur - Indiranagar Vibhag-2 (Pani ni Tanki),Sarangpur,Indiranagar Vibhag-2 (Pani ni Tanki),1204,9008,06:15:00,21:30:00,"1,2,3,4,5,6,7",AMTS,NORMAL
181,30/3-U,30/3,Dani Limda Gam - Dev Residency,Dani Limda Gam,Dev Residency,3480,9372,07:10:00,18:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
182,33-LV-D,33,Lal Darwaja - Vasna,Lal Darwaja,Vasna,1077,3713,05:53:00,16:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
183,30-D,30,Karnavati Chowk-4 (New Narol) - Maninagar,Karnavati Chowk-4 (New Narol),Maninagar,1802,1329,06:20:00,20:05:00,"1,2,3,4,5,6,7",AMTS,NORMAL
185,30-KI-D,30,Karnavati Chowk-4 (New Narol) - Isanpur,Karnavati Chowk-4 (New Narol),Isanpur,1802,3072,20:55:00,21:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
186,30/3-D,30/3,Dev Residency - Dani Limda Gam,Dev Residency,Dani Limda Gam,9373,3517,08:40:00,16:20:00,"1,2,3,4,5,6,7",AMTS,NORMAL
187,30/3-SV-D,30/3,Dev Residency - Paldi,Dev Residency,Paldi,9373,1346,19:40:00,19:40:00,"1,2,3,4,5,6,7",AMTS,NORMAL
